Pillar,Dataset,Content,Status,Note
EC1 — Reef extent,Sentinel-2A imagery (Sen2Cor/SNAP),"Corrected reflectance, depth-invariant index (Lyzenga)",Publishable,"Primary source, standard processing, undisputed."
EC1 — Reef extent,Resultat.shp,"Raw benthic classification output — 9 classifier layers (DTCX, RTCX, KNNSG, SVMSG, etc.)",Blocked,Not harmonised. Amoros denies having produced DTCX/RTCX and SVMSG (July 2026) — disagreement with the file's own content unresolved.
EC1 — Reef extent,Resultat_v2_nettoye.xlsx,Cleanup attempt of Resultat.shp,Discarded,"~770,000 ha, ~7x the canonical area, class composition inverted. Confirmed unusable."
EC1 — Reef extent,Reef_extent_SW_Mada_OASISM.csv / Reef_extent.shp,Canonical validated extent layer,Pilot,"111,544 ha, validated to within 0.006% after deduplication. Serves as the pipeline's reference baseline."
EC1 — Reef extent,Allen Coral Atlas (2021),External baseline outside the Grand Récif de Toliara (GRT),Publishable (external),"Used by Amoros for the area outside the GRT (Morombe–Ambohibola), 5 m resolution (Planet)."
EC1 — Reef extent,Nomenisoa et al. (2021),"Local benthic mapping, GRT area",Publishable (external),Used by Amoros as the 2021 reference within the Grand Récif de Toliara.
EC1 — Reef extent,"Classifier validation sample (1,822 points)",Training + test points for the KNN classification,Blocked,"1,437/1,822 (79%) are training points reused for validation. OA=95.77%/Kappa=0.8899 are not independent of training."
EC1 — Reef extent,Georeferenced CPCe photoquadrats,Reference benthic composition (classifier calibration/validation),Pilot,Feeds both EC1 (validation) and EC3 (benthic condition).
EC3 — Fish condition,Raw fish UVC CSVs (flat convention),"Counts per transect, 1 village = 1 site convention",Discarded as a convention,Distorted the true number of sites; replaced by the canonical 26-site / 86-station hierarchy.
EC3 — Fish condition,Precomputed biomass table (Laza),"Biomass per station, canonical Site→Station hierarchy",Publishable,"Adopted as the canonical source. Corrected biomass 367.3 kg/ha (zone, unweighted mean), below the WIO threshold of 600 kg/ha (McClanahan et al. 2016)."
EC3 — Fish condition,FishBase allometric coefficients (W=aLᵇ),"Species-specific a, b parameters",Pilot,"Two species (Chaetodon vagabundus, Ostracion cubicus) still to be checked against FishBase."
EC3 — Fish condition,Species richness per station,"227 cumulative species, 38 families",Publishable,"58.4 spp./station on average, below the WIO regional median of 117 (Samoilys et al. 2019)."
EC3 — Invertebrate condition,Invertebres_OASIS-M_normalise.xlsx,"Post-QA normalised version, 323 rows",Pilot (intermediate),Working base prior to finalisation of condition indices.
EC3 — Invertebrate condition,IC_Invertebres_OASIS-M_v2_corrige.xlsx,"Finalised condition indices by zone (urchin, clam, COTS), traced methodological log",Pilot,IC_urchin ranges from 0.03 (Teariake) to 1.00 (Velondriake). IC_clam capped at 1.0 in every zone — a documented limit of the reference value (Apte et al. 2010).
EC3 — Invertebrate condition,Acanthaster-Tridacna Coordo modifier.xlsx,Georeferenced occurrences of A. planci (4) and T. maxima (47),Pilot,"A. planci confined to Paysage Mahafaly (3 sites). T. maxima present across all 6 zones, 19 sites."
