Pilier,Jeu_de_donnees,Contenu,Statut,Note
EC1 — Étendue récifale,Imagerie Sentinel-2A (Sen2Cor/SNAP),"Réflectance corrigée, indice de profondeur invariant (Lyzenga)",Publiable,"Source primaire, traitement standard, non contesté."
EC1 — Étendue récifale,Resultat.shp,"Sortie brute de classification benthique — 9 couches classificateurs (DTCX, RTCX, KNNSG, SVMSG, etc.)",Bloqué,Non harmonisé. Amoros nie avoir produit DTCX/RTCX et SVMSG (juill. 2026) — désaccord non résolu avec le contenu du fichier lui-même.
EC1 — Étendue récifale,Resultat_v2_nettoye.xlsx,Tentative de nettoyage de Resultat.shp,Écarté,"~770 000 ha, ~7x la superficie canonique, composition de classes inversée. Confirmé inutilisable."
EC1 — Étendue récifale,Reef_extent_SW_Mada_OASISM.csv / Reef_extent.shp,Couche d'étendue canonique validée,Pilote,"111 544 ha, validée à 0,006% près après dédoublonnage. Sert de baseline de référence du pipeline."
EC1 — Étendue récifale,Allen Coral Atlas (2021),Baseline externe hors Grand Récif de Toliara (GRT),Publiable (externe),"Utilisé par Amoros pour la zone hors-GRT (Morombe–Ambohibola), résolution 5 m (Planet)."
EC1 — Étendue récifale,Nomenisoa et al. (2021),"Cartographie benthique locale, zone GRT",Publiable (externe),Utilisée par Amoros comme référence 2021 dans le Grand Récif de Toliara.
EC1 — Étendue récifale,Échantillon de validation classificateur (1822 pts),Points d'entraînement + test pour la classification KNN,Bloqué,"1437/1822 (79%) sont des points d'entraînement réutilisés en validation. OA=95,77%/Kappa=0,8899 non indépendants."
EC1 — Étendue récifale,Photoquadrats CPCe géoréférencés,Composition benthique de référence (calibration/validation),Pilote,Alimente EC1 (validation) et EC3 (condition benthique).
EC3 — Condition poisson,CSV bruts UVC poisson (convention à plat),"Comptages par transect, convention 1 village = 1 site",Écarté comme convention,Distordait le nombre de sites réels ; remplacé par la hiérarchie canonique 26 sites / 86 stations.
EC3 — Condition poisson,Table de biomasse précalculée (Laza),"Biomasse par station, hiérarchie Site→Station canonique",Publiable,"Adoptée comme source canonique. Biomasse corrigée 367,3 kg/ha (zone, moyenne non pondérée), sous le seuil WIO de 600 kg/ha (McClanahan et al. 2016)."
EC3 — Condition poisson,Coefficients allométriques FishBase (W=aLᵇ),"Paramètres a, b par espèce",Pilote,"Deux espèces (Chaetodon vagabundus, Ostracion cubicus) encore à vérifier contre FishBase."
EC3 — Condition poisson,Richesse spécifique par station,"227 espèces cumulées, 38 familles",Publiable,"58,4 esp./station en moyenne, sous la médiane régionale WIO de 117 (Samoilys et al. 2019)."
EC3 — Condition invertébrés,Invertebres_OASIS-M_normalise.xlsx,"Version normalisée post-QA, 323 lignes",Pilote (intermédiaire),Base de travail antérieure à la finalisation des indices de condition.
EC3 — Condition invertébrés,IC_Invertebres_OASIS-M_v2_corrige.xlsx,"Indices de condition finalisés par zone (oursin, bénitier, COTS), log méthodologique tracé",Pilote,"IC_oursin de 0,03 (Teariake) à 1,00 (Velondriake). IC_bénitier plafonné à 1,0 dans toutes les zones — limite documentée de la valeur de référence (Apte et al. 2010)."
EC3 — Condition invertébrés,Acanthaster-Tridacna Coordo modifier.xlsx,Occurrences géoréférencées A. planci (4) et T. maxima (47),Pilote,"A. planci confiné à Paysage Mahafaly (3 sites). T. maxima présent dans les 6 zones, 19 sites."
EC3 — Condition invertébrés,Hierarchie_Zones_Ecologiques_Sites_Stations.xlsx,"Table canonique zone→site→station (33 lignes, 7 zones dont 1 non assignée)",Publiable,"Référence de rattachement du pipeline condition. N'inclut pas Ratafenjika, Nosy Satra, Befasy, Ankaramifioky."
EC3 — Condition invertébrés,Surface d'échantillonnage oursin,50 m²/transect retenu ; 250 m² déclaré par Laza,À trancher,"Écart non résolu entre la réponse écrite de Laza et le protocole documenté dans les rapports d'étendue. Calcul actuel retient 50 m² sur test de vraisemblance biologique, pas sur confirmation de Laza."
EC3 — Condition invertébrés,"Zones non assignées (Nosy Satra, Befasy, Ambohibola, Tanilahy)",Lignes sans rattachement écologique confirmé,Bloqué (terrain clos),Recherche documentaire infructueuse. Terrain clos — non résolvable par nouvelle collecte.
EC3 — Condition invertébrés,Coordonnées GPS (couche invertébrés),~85% des lignes sans coordonnées ; hétérogénéité de facteur de correction,Bloqué (partiel),Fragile pour la station Eolomotsy/Fitsitika ; formule de correction non généralisée au-delà de qaqc_poissons().
EC3 — Condition habitat benthique,Couverture corallienne / algues / rubble par site,Cover-classes Site x Year requises pour Pilier 3,Bloqué (PENDING),"Aucune donnée Site x Year disponible. La classification Sentinel-2 (Resultat.shp) sert à l'étendue, pas à la condition par site, et porte le même défaut de surface."
Pilier 2 — Ménages et pêcherie,Enquête ménages vague 1 (VF1),"377 ménages, Toliara II uniquement, nov. 2025, rappel simple",Bloqué (usage limité),"Confond d'instrument confirmé face à VF2 (Mann-Whitney, p=1,7e-6 à Efoetse). Retenu en descriptif seulement."
Pilier 2 — Ménages et pêcherie,Enquête ménages vague 2 (VF2),"525 ménages, 3 districts, janv. 2026, journal 7 jours",Pilote,Instrument retenu comme référence pour CPUE/VAB pêche informelle. Crosswalk commune→district et effort par engin encore manquants.
Pilier 2 — Ménages et pêcherie,Recensement pêcheurs/pirogues/engins (Faustinato),"13 672 pêcheurs, 8 508 pirogues, 21 communes",Publiable,"Donnée compilée directement utilisable, pas une estimation en cours."
Pilier 2 — Ménages et pêcherie,BDD_Mada_Fishery_Catch_SW.csv,"Captures nettoyées et remises en forme (long format, zéro-capture, log d'incohérence)",Pilote,"Coupes transversales tournantes (pas un panel) ; chaque village vu 1 à 2 fois, limite l'analyse de tendance CPUE."
Pilier 2 — Ménages et pêcherie,DRPEB Atsimo Andrefana,"Débarquements et commercialisation, 2009–2024",Proxy — non calibré,Série brute non encore agrégée sur une année de référence unique ; recouvrement avec les douanes non vérifié.
Pilier 2 — Ménages et pêcherie,Douanes (import/export),"Produits halieutiques, miniers, agricoles, pétroliers, 2022–oct. 2025",Proxy — non calibré,Vérifier le non-recouvrement avec DRPEB avant sommation dans la VAB pêche formelle.
Pilier 2 — Ménages et pêcherie,SW25 (Blue Ventures),"Débarquements, jeu de recoupement externe",Bloqué,"588 lignes dupliquées, valeurs aberrantes jusqu'à 43 500 kg/sortie. Escalade requise vers Blue Ventures."
Pilier 2 — Tourisme et secteurs dépendants,INSTAT Tourisme Toliara,"Nombre d'hôtels, restaurants, employés",Proxy — non calibré,"Effectifs, pas de chiffre d'affaires ; année non précisée."
Pilier 2 — Tourisme et secteurs dépendants,Coefficient δ tourisme/transport,Part océanique des secteurs tourisme et transport,Bloqué,Phase 1 (proxy spatial) non lancée ; Phase 2 (enquête primaire) non budgétisée.
Pilier 3 — Institutionnel et gouvernance,Table MPA/LMMA (Faustinato),"Superficie par MPA (Nosy Ve Androka, Ranobe Bay) et LMMA (Velondriake, Soariake)",Bloqué (contenu incomplet),Cellules de valeur non renseignées dans les documents disponibles.
Pilier 3 — Institutionnel et gouvernance,Table Effort/CPUE par village (Faustinato),21 villages classés MPA/NMPA,Bloqué (vide),Colonnes Effort et CPUE vides — à obtenir de Faustinato avant tout calcul de CPUE par régime de gouvernance.
Pilier 3 — Institutionnel et gouvernance,Site–WDPA (extent-protected-area),Rattachement des sites UVC aux zones protégées,Bloqué,"Dépend du crosswalk commune→district (Niveau 3), non disponible à ce stade."
Référentiel de valorisation,Valeurs unitaires benefit transfer,Coral/Algae 87000 ; Seagrass 20000 ; Sand 500 ; Rubble 2000 ; Rock 1500 (USD/ha/an),Publiable (externe),Costanza et al. 2014 ; Brander et al. 2012 ; Nordlund et al. 2016 ; UNEP 2020. Bande de sensibilité ±50% recommandée.
Référentiel de valorisation,"MPEB, annuaire statistique 2022","Part du secteur pêche dans le PIB national : 3,20%",Publiable (externe),"Retenue de préférence aux valeurs concurrentes (7% Banque mondiale 2020 ; 5% ; 4,8% FAO)."
Référentiel de valorisation,Barnes-Mauthe et al. (2013),"Structure de coûts post-débarquement, pêcherie vézo",Publiable (externe),Fonde la présomption de valorisation par prix de rente (cas A) pour services-provisionning et le MECA.
